"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"323",2016,10,1,1,0,3,9,0,2,9,1,1,1
"324",2016,4,5,0,2,2,3,0,1,4,0,0,7
"325",2013,8,1,0,1,4,3,0,2,9,0,0,27
"326",2016,5,1,0,9,4,1,0,9,4,0,0,10
"327",2016,9,2,0,9,3,2,0,2,3,1,9,1
"328",2014,11,3,0,1,3,3,0,2,9,0,1,1
"329",2016,4,1,1,9,0,2,0,1,3,0,0,6
"330",2013,7,9,1,1,3,3,0,2,2,0,0,1
"331",2017,8,1,1,9,9,4,0,2,1,0,0,24
"332",2016,8,4,0,0,3,3,0,2,2,1,0,1
"333",2013,7,3,0,9,2,2,0,2,1,1,1,1
"334",2015,9,3,1,0,3,3,0,2,1,1,0,1
"335",2014,6,1,0,9,3,1,0,1,1,0,0,6
"336",2017,6,9,0,2,2,2,0,2,2,0,0,2
"337",2017,5,5,0,9,1,2,0,1,3,0,0,2
"338",2013,7,9,0,1,4,2,0,9,3,1,1,1
"339",2015,4,6,0,9,0,1,0,1,3,0,0,1
"340",2014,4,3,9,9,0,2,0,1,9,0,0,1
"341",2014,11,1,0,1,4,3,0,2,2,1,1,8
"342",2017,5,3,1,0,4,3,0,1,1,0,0,2
"343",2016,8,2,0,9,1,2,1,2,4,1,0,1
"344",2014,7,1,0,9,1,3,0,1,1,1,0,5
"345",2016,7,1,1,1,1,2,0,2,2,0,0,28
"346",2013,9,5,0,9,4,9,0,2,3,0,0,2
"347",2015,7,5,0,1,9,3,9,2,2,1,1,1
"348",2016,9,5,1,2,1,2,0,2,4,0,0,1
"349",2015,6,5,0,1,3,2,0,2,1,1,0,1
"350",2015,6,1,0,1,9,9,1,2,9,9,0,1
"351",2013,9,1,1,9,1,3,0,2,4,1,1,2
"352",2017,4,1,0,9,1,2,0,2,9,0,9,2
"353",2016,6,5,0,0,0,2,0,2,4,0,0,6
"354",2013,12,1,0,2,1,1,9,2,9,1,9,2
"355",2017,9,1,1,2,4,3,9,2,2,1,9,1
"356",2015,10,1,1,2,1,2,0,2,9,9,0,1
"357",2016,9,9,0,9,4,2,0,2,1,1,0,1
"358",2017,7,2,0,0,4,3,0,3,3,1,0,1
"359",2016,2,4,0,2,4,4,0,1,1,0,0,1
"360",2015,9,1,0,1,3,2,9,2,2,1,0,2
"361",2015,11,2,0,0,0,2,9,2,2,0,0,1
"362",2017,11,3,0,0,3,2,0,2,3,1,0,1
"363",2015,6,1,0,0,4,3,9,3,4,0,9,1
"364",2016,6,3,0,9,4,9,0,1,9,0,0,2
"365",2015,6,5,1,9,9,3,0,9,9,0,0,1
"366",2016,7,9,0,1,3,2,0,1,3,1,0,1
"367",2014,10,3,0,9,3,1,0,2,3,0,0,1
"368",2016,7,5,9,9,0,2,9,9,9,0,1,1
"369",2014,7,1,1,9,1,3,0,1,1,0,9,1
"370",2017,5,1,1,9,9,2,9,9,4,1,9,1
"371",2013,11,2,0,9,9,4,0,2,9,0,0,2
"372",2016,7,5,0,0,2,2,0,1,2,0,0,1
"373",2013,7,1,1,0,1,4,0,1,1,0,0,2
"374",2016,3,1,1,1,4,3,0,1,4,1,0,1
"375",2014,7,6,0,2,3,2,0,2,1,0,0,4
"376",2017,4,6,0,2,9,3,0,1,9,9,9,1
"377",2014,6,1,1,1,1,2,0,1,3,1,0,2
"378",2014,7,1,1,1,4,2,0,9,2,0,0,6
"379",2016,10,5,0,9,4,3,0,2,2,1,0,1
"380",2015,5,1,1,1,1,3,0,1,4,0,0,5
"381",2015,8,2,0,1,1,3,9,2,9,0,1,1
"382",2017,6,9,1,2,3,2,0,1,2,0,0,1
"383",2016,8,2,1,1,9,9,0,2,1,0,0,1
"384",2017,6,3,0,9,4,2,0,1,1,0,0,2
"385",2015,7,1,1,2,4,2,0,2,3,0,0,5
"386",2016,8,1,0,0,4,3,0,2,1,1,0,25
"387",2015,4,5,9,1,9,4,0,1,9,0,9,1
"388",2014,5,3,0,9,3,3,9,9,1,0,9,1
"389",2016,13,1,1,9,0,3,0,2,1,0,0,1
"390",2014,6,1,0,1,0,2,0,1,9,1,0,2
"391",2013,9,1,0,1,9,2,0,2,1,0,9,2
"392",2017,6,1,0,2,0,3,0,1,2,0,9,1
"393",2014,6,3,0,0,2,3,9,9,1,0,9,3
"394",2017,9,2,0,9,4,2,0,2,3,1,9,2
"395",2016,10,5,0,1,1,2,0,2,2,1,1,3
"396",2016,7,3,0,9,2,3,0,2,2,1,0,1
"397",2016,13,1,0,9,9,2,0,2,1,0,0,21
"398",2015,9,1,1,9,3,4,0,2,1,1,1,3
"399",2014,9,1,1,2,0,2,0,2,3,0,0,4
"400",2017,2,6,0,9,3,4,0,1,1,0,0,2
"401",2014,11,9,0,9,9,2,0,2,2,0,0,1
"402",2016,11,3,0,1,1,3,0,2,9,0,1,1
"403",2015,6,5,0,9,3,2,0,2,4,0,9,1
"404",2017,7,9,0,2,1,2,0,2,2,0,0,5
"405",2014,7,3,0,1,1,2,0,3,1,0,0,1
"406",2014,6,2,0,0,4,2,0,2,1,0,0,1
"407",2016,4,1,0,9,9,3,9,1,1,0,0,2
"408",2016,7,1,0,9,9,3,0,9,1,1,1,19
"409",2016,9,3,0,0,9,3,9,2,9,1,0,3
"410",2016,12,5,0,0,2,3,0,2,1,1,0,1
"411",2014,8,3,1,1,9,9,0,2,9,0,0,1
"412",2017,5,2,0,9,0,4,0,1,1,0,9,3
"413",2014,6,3,0,9,2,2,0,2,2,0,0,2
"414",2017,6,6,1,9,9,3,0,9,4,1,1,1
"415",2016,7,2,0,1,1,3,0,2,1,1,0,2
"416",2017,6,6,0,9,9,1,0,1,4,1,1,1
"417",2014,5,5,0,1,9,3,9,9,2,9,9,2
"418",2016,11,2,0,0,1,2,0,2,1,0,1,2
"419",2013,7,2,0,1,0,3,9,9,2,1,9,2
"420",2014,6,5,1,9,3,1,0,2,2,1,9,1
"421",2017,7,5,0,1,0,3,0,2,4,1,0,1
"422",2014,9,3,0,2,3,3,0,2,9,0,0,2
"423",2013,8,2,0,1,1,1,0,2,4,1,0,4
"424",2015,12,1,0,1,1,2,0,2,9,0,0,5
"425",2014,9,6,0,9,1,4,0,2,2,1,0,1
"426",2014,10,1,0,1,9,1,0,2,4,1,0,2
"427",2017,10,1,0,9,9,1,9,2,9,1,0,2
"428",2015,5,3,1,1,1,3,9,9,9,0,0,1
"429",2014,11,1,0,1,1,2,0,2,4,1,0,14
"430",2017,8,6,1,1,2,2,0,2,4,0,0,1
"431",2016,6,1,0,9,3,2,0,9,1,0,9,1
"432",2013,9,1,1,9,3,3,1,2,9,1,0,1
"433",2014,5,5,0,9,4,4,9,9,9,9,9,1
"434",2014,13,3,0,9,9,3,1,2,9,1,1,1
"435",2017,5,1,1,1,2,4,0,1,2,1,0,1
"436",2017,9,2,1,2,0,2,9,2,9,9,9,2
"437",2016,5,2,0,0,0,3,0,3,4,0,0,3
"438",2014,12,1,0,9,9,4,0,2,9,1,0,3
"439",2014,8,1,1,9,4,2,0,2,1,0,9,7
"440",2013,7,5,0,0,0,1,9,2,3,0,9,1
"441",2015,4,5,0,0,3,4,0,1,4,0,0,1
"442",2016,6,3,9,9,9,3,0,1,1,9,0,1
"443",2016,11,1,0,1,3,2,9,2,1,0,0,1
"444",2014,6,1,0,1,3,4,9,2,2,0,9,1
"445",2013,10,5,0,9,2,2,0,2,4,0,0,1
"446",2015,7,9,0,0,3,2,0,9,9,1,0,2
"447",2016,10,6,1,1,2,2,0,2,4,0,0,1
"448",2017,5,2,0,0,0,3,0,2,4,0,0,1
"449",2014,8,1,0,9,3,3,9,2,1,1,9,2
"450",2014,4,6,9,0,9,4,0,1,2,0,9,1
